Quarter ID,Quarter,State ID,State,Investment
20023,2002-Q3,3,Baja California Sur,91.3346277475357
20024,2002-Q4,3,Baja California Sur,90.05834046751261
20031,2003-Q1,3,Baja California Sur,23.51833176612854
20032,2003-Q2,3,Baja California Sur,33.49496799707413
20033,2003-Q3,3,Baja California Sur,35.35479784011841
20034,2003-Q4,3,Baja California Sur,57.10910642147064
20041,2004-Q1,3,Baja California Sur,94.13392615318298
20042,2004-Q2,3,Baja California Sur,28.557239770889282
20043,2004-Q3,3,Baja California Sur,48.72285985946655
20044,2004-Q4,3,Baja California Sur,57.821343421936035
20051,2005-Q1,3,Baja California Sur,217.11956548690796
20052,2005-Q2,3,Baja California Sur,125.3860981464386
20053,2005-Q3,3,Baja California Sur,189.2048568725586
20054,2005-Q4,3,Baja California Sur,209.20963406562805
20061,2006-Q1,3,Baja California Sur,266.3893451690674
20062,2006-Q2,3,Baja California Sur,145.46473217010498
20063,2006-Q3,3,Baja California Sur,122.70448970794678
20064,2006-Q4,3,Baja California Sur,57.60751485824585
20071,2007-Q1,3,Baja California Sur,213.2636375427246
20072,2007-Q2,3,Baja California Sur,194.92324686050415
20073,2007-Q3,3,Baja California Sur,135.66108059883118
20074,2007-Q4,3,Baja California Sur,275.44311517477036
20081,2008-Q1,3,Baja California Sur,224.48452186584473
20082,2008-Q2,3,Baja California Sur,219.4215316772461
20083,2008-Q3,3,Baja California Sur,243.09570394456387
20084,2008-Q4,3,Baja California Sur,123.49472016096115
20091,2009-Q1,3,Baja California Sur,119.4863885641098
20092,2009-Q2,3,Baja California Sur,123.2926254272461
20093,2009-Q3,3,Baja California Sur,71.1916561126709
20094,2009-Q4,3,Baja California Sur,135.55559277534485
20101,2010-Q1,3,Baja California Sur,124.58980131149292
20102,2010-Q2,3,Baja California Sur,46.15481185913086
20103,2010-Q3,3,Baja California Sur,171.5083981603384
20104,2010-Q4,3,Baja California Sur,175.49711203575134
20111,2011-Q1,3,Baja California Sur,178.3285617828369
20112,2011-Q2,3,Baja California Sur,168.84835052490234
20113,2011-Q3,3,Baja California Sur,209.280837059021
20114,2011-Q4,3,Baja California Sur,154.82123565673828
20121,2012-Q1,3,Baja California Sur,122.3415697813034
20122,2012-Q2,3,Baja California Sur,135.5525803565979
20123,2012-Q3,3,Baja California Sur,57.341416507959366
20124,2012-Q4,3,Baja California Sur,405.39404487609863
20131,2013-Q1,3,Baja California Sur,56.11420655250549
20132,2013-Q2,3,Baja California Sur,111.99989438056946
20133,2013-Q3,3,Baja California Sur,175.10084587335587
20134,2013-Q4,3,Baja California Sur,78.12178182601929
20141,2014-Q1,3,Baja California Sur,117.35365343093872
20142,2014-Q2,3,Baja California Sur,48.297562792897224
20143,2014-Q3,3,Baja California Sur,3.2529408931732178
20144,2014-Q4,3,Baja California Sur,59.796658515930176
20151,2015-Q1,3,Baja California Sur,50.93889331817627
20152,2015-Q2,3,Baja California Sur,78.55305171012878
20153,2015-Q3,3,Baja California Sur,164.47513961791992
20154,2015-Q4,3,Baja California Sur,58.04720163345337
20161,2016-Q1,3,Baja California Sur,260.56861114501953
20162,2016-Q2,3,Baja California Sur,95.08339834213257
20163,2016-Q3,3,Baja California Sur,82.75262904167175
20164,2016-Q4,3,Baja California Sur,72.38086104393005
20171,2017-Q1,3,Baja California Sur,164.96459007263184
20172,2017-Q2,3,Baja California Sur,149.53315019607544
20173,2017-Q3,3,Baja California Sur,142.78635382652283
20174,2017-Q4,3,Baja California Sur,111.65525484085083
20181,2018-Q1,3,Baja California Sur,119.984854221344
20182,2018-Q2,3,Baja California Sur,108.6370792388916
20183,2018-Q3,3,Baja California Sur,116.60108184814453
